date,weighted_avg_sentiment_score,daywise_median_positive_score,daywise_median_negative_score,daywise_positive_tweet_count,daywise_negative_tweet_count,daywise_avg_replyCount,daywise_avg_retweetCount,daywise_avg_likeCount,daywise_avg_quoteCount,company,stock_price,next_day_stock_price,trend
2022-01-03,0.0024534017971758,0.34,0.34,14,1,4,13,52,2,4,170.404495,167.52200317382812,0
2022-01-04,0.6865313131313131,0.7096,0.4215,9,1,3,4,20,1,4,167.522003,164.35699462890625,0
2022-01-05,0.2931895336787565,0.4404,0.3612,13,2,4,11,65,2,4,164.356995,163.25399780273438,0
2022-01-06,0.5879135902636917,0.4404,0.0,15,0,4,7,33,2,4,163.253998,162.5540008544922,0
2022-01-07,0.6793685,0.5574,0.1576,9,1,6,13,40,2,4,162.554001,165.61830139160156,1
2022-01-08,0.1366635915808329,0.6597,0.6003,9,4,8,22,172,2,4,165.61830139160156,164.4217529296875,0
2022-01-09,0.4961241676942046,0.6249,0.0258,7,1,3,14,102,32,4,164.4217529296875,161.48599243164062,0
2022-01-10,0.2183856459330143,0.5423,0.5267,11,4,25,21,307,4,4,161.485992,165.36199951171875,1
2022-01-11,0.5479411598302687,0.6124,0.4404,16,1,3,5,42,1,4,165.362,165.20700073242188,0
2022-01-12,0.7521577123501823,0.4767,0.0,17,0,18,19,226,2,4,165.207001,161.21400451660156,0
2022-01-13,0.3420580335731414,0.5859,0.802,16,2,3,3,47,1,4,161.214005,162.13800048828125,1
2022-01-14,0.6192038878266412,0.4939,0.0,15,0,4,11,105,1,4,162.138,163.08140563964844,1
2022-01-15,0.2600727164887307,0.4767,0.3182,13,2,20,10,113,1,4,163.08140563964844,163.48025512695312,1
2022-01-16,0.2315423450336071,0.5574,0.34,15,7,4,5,61,1,4,163.48025512695312,162.85299682617188,0
2022-01-17,0.2874221374045801,0.6808,0.0,7,0,2,14,57,2,4,162.85299682617188,158.91749572753906,0
2022-01-18,0.506760197368421,0.5994,0.0772,8,1,7,5,34,1,4,158.917496,156.2989959716797,0
2022-01-19,0.5662105917667241,0.4404,0.1779,12,1,13,17,180,1,4,156.298996,151.66749572753906,0
2022-01-20,0.4907691228070175,0.4939,0.0,13,0,2,3,22,1,4,151.667496,142.64300537109375,0
2022-01-21,-0.0271750219876868,0.4404,0.4226,20,6,8,13,127,2,4,142.643005,152.38174438476562,1
2022-01-22,0.20446412855377,0.3612,0.3612,14,2,6,46,238,12,4,152.38174438476562,152.38174438476562,0
2022-01-23,0.8442732571428573,0.8316,0.0,12,0,16,34,219,7,4,152.38174438476562,144.54400634765625,0
2022-01-24,0.3778082026537998,0.4939,0.6369,20,2,27,13,151,2,4,144.544006,139.98599243164062,0
2022-01-25,0.5217677524429967,0.4404,0.0,8,0,1,11,39,1,4,139.985992,138.87249755859375,0
2022-01-26,0.6388695852534562,0.6705,0.0,18,0,4,6,37,1,4,138.872498,139.6374969482422,1
2022-01-27,0.8624086249999999,0.6597,0.0,13,0,10,29,185,1,4,139.637497,143.97799682617188,1
2022-01-28,0.3942306584362139,0.6908,0.6249,13,2,6,6,33,1,4,143.977997,141.40359497070312,0
2022-01-29,0.4405848571428571,0.5994,0.1027,10,1,18,6,32,1,4,141.40359497070312,140.61849975585938,0
2022-01-30,0.3422222222222222,0.5859,0.0,9,0,7,12,60,1,4,140.61849975585938,149.57350158691406,1
2022-01-31,0.412877802690583,0.4703,0.0,15,0,3,5,30,1,4,149.573502,151.19349670410156,1
2022-02-01,0.5295688796680499,0.4767,0.0,20,0,5,6,58,1,4,151.193497,150.6125030517578,0
2022-02-02,0.0804960784313725,0.4588,0.5574,13,2,5,6,42,1,4,150.612503,138.8455047607422,0
2022-02-03,0.4132974529147983,0.4939,0.296,58,9,7,8,79,2,4,138.845505,157.63949584960938,1
2022-02-04,0.3224311615214054,0.6249,0.3612,65,10,7,11,77,2,4,157.639496,149.57290649414062,0
2022-02-05,0.4834802056555269,0.7096,0.6124,20,4,5,11,65,2,4,149.57290649414062,149.57275390625,0
2022-02-06,0.3051049019607844,0.6808,0.128,9,3,4,5,26,1,4,149.57275390625,157.9355010986328,1
2022-02-07,0.6108817820206843,0.6124,0.2263,30,1,5,6,41,1,4,157.935501,161.4134979248047,1
2022-02-08,0.764169487983281,0.6808,0.4019,16,1,7,17,57,3,4,161.413498,161.1894989013672,0
2022-02-09,0.6848366167023554,0.7184,0.0,13,0,5,6,36,1,4,161.189499,159.0034942626953,0
2022-02-10,0.4798244990892532,0.4215,0.0,19,0,4,6,58,1,4,159.003494,153.2935028076172,0
2022-02-11,0.4098134948096885,0.891,0.0,7,0,50,14,124,4,4,153.293503,158.5670928955078,1
