date,weighted_avg_sentiment_score,daywise_median_positive_score,daywise_median_negative_score,daywise_positive_tweet_count,daywise_negative_tweet_count,daywise_avg_replyCount,daywise_avg_retweetCount,daywise_avg_likeCount,daywise_avg_quoteCount,company,stock_price,next_day_stock_price,trend
2022-01-03,0.3624506257300184,0.4019,0.4215,60,3,6,19,87,4,5,182.009995,179.6999969482422,0
2022-01-04,0.381182298805561,0.5859,0.296,60,5,3,9,67,1,5,179.699997,174.9199981689453,0
2022-01-05,0.5372709828393136,0.5719,0.5859,27,3,5,16,101,2,5,174.919998,172.0,0
2022-01-06,0.2456930913348946,0.4404,0.5719,22,3,3,5,29,1,5,172.0,172.1699981689453,1
2022-01-07,0.2328658865248226,0.5267,0.4939,21,6,6,8,49,1,5,172.169998,176.16000366210938,1
2022-01-08,0.3988127632418634,0.4767,0.6486,20,2,5,15,69,4,5,176.16000366210938,174.69749450683594,0
2022-01-09,0.2882460606060607,0.3182,0.2732,8,3,3,9,28,2,5,174.69749450683594,172.19000244140625,0
2022-01-10,0.2557423294383716,0.4588,0.4215,22,7,7,10,79,2,5,172.190002,175.0800018310547,1
2022-01-11,0.1981133557800224,0.3612,0.1779,21,4,3,9,64,2,5,175.080002,175.52999877929688,1
2022-01-12,-0.0378795468097793,0.3612,0.3182,18,6,3,11,63,1,5,175.529999,172.19000244140625,0
2022-01-13,0.388940733197556,0.4019,0.4404,19,2,2,4,21,1,5,172.190002,173.07000732421875,1
2022-01-14,0.3637099195710456,0.5994,0.4019,23,6,3,4,25,1,5,173.070007,173.61199951171875,1
2022-01-15,0.4033882414151926,0.4404,0.4019,12,3,6,7,65,1,5,173.61199951171875,173.96749877929688,1
2022-01-16,0.0488927431059506,0.4019,0.343,8,4,3,7,39,1,5,173.96749877929688,173.59666442871094,0
2022-01-17,-0.0978307541144681,0.5302,0.7003,19,1,5,23,177,2,5,173.59666442871094,169.8000030517578,0
2022-01-18,0.3885215277777778,0.5994,0.5574,26,2,6,6,81,2,5,169.800003,166.22999572753906,0
2022-01-19,0.10288222483814,0.5106,0.2732,12,4,4,11,95,1,5,166.229996,164.50999450683594,0
2022-01-20,0.4027188731284474,0.296,0.6597,31,2,6,7,75,2,5,164.509995,162.41000366210938,0
2022-01-21,0.4013769296740995,0.4019,0.2732,23,3,7,16,90,2,5,162.410004,165.7375030517578,1
2022-01-22,0.2347179245283019,0.3182,0.0,10,0,4,10,46,2,5,165.7375030517578,165.7375030517578,0
2022-01-23,0.2658821153846153,0.5719,0.4588,2,2,5,8,75,1,5,165.7375030517578,161.6199951171875,0
2022-01-24,0.1366826589595376,0.4588,0.4588,18,6,4,8,58,1,5,161.619995,159.77999877929688,0
2022-01-25,-0.0932387513455327,0.5267,0.3182,20,9,5,10,60,1,5,159.779999,159.69000244140625,0
2022-01-26,0.2422773282442748,0.4404,0.34,20,3,6,13,105,1,5,159.690002,159.22000122070312,0
2022-01-27,0.2902612327111588,0.5302,0.4404,35,8,9,18,121,4,5,159.220001,170.3300018310547,1
2022-01-28,0.2256215666065447,0.4588,0.3612,67,13,18,38,201,5,5,170.330002,162.1280059814453,0
2022-01-29,0.4742382196162046,0.5994,0.296,24,5,19,22,126,3,5,162.1280059814453,162.2550048828125,1
2022-01-30,0.3524711688311688,0.4404,0.5574,17,2,4,7,37,1,5,162.2550048828125,174.77999877929688,1
2022-01-31,0.2418320699708454,0.4404,0.4767,30,3,15,22,109,4,5,174.779999,174.61000061035156,0
