date,weighted_avg_sentiment_score,daywise_median_positive_score,daywise_median_negative_score,daywise_positive_tweet_count,daywise_negative_tweet_count,daywise_avg_replyCount,daywise_avg_retweetCount,daywise_avg_likeCount,daywise_avg_quoteCount,company,stock_price,next_day_stock_price,trend
2022-01-03,0.149527408993576,0.4404,0.34,9,1,6,26,94,3,2,334.75,329.010009765625,0
2022-01-04,0.5397928143712576,0.6369,0.0,7,0,1,4,24,1,2,329.01001,316.3800048828125,0
2022-01-05,0.2557099728014506,0.296,0.3612,13,1,4,9,79,2,2,316.380005,313.8800048828125,0
2022-01-06,0.7059400000000001,0.4019,0.0,6,0,5,8,41,2,2,313.880005,314.0400085449219,1
2022-01-07,0.0570341176470588,0.1779,0.4939,6,1,3,4,22,0,2,314.040009,321.61199951171875,1
2022-01-08,0.3859984520123838,0.34,0.0,11,0,3,12,81,1,2,321.61199951171875,318.3275146484375,0
2022-01-09,0.5532419310344828,0.4767,0.0,6,0,4,26,104,2,2,318.3275146484375,314.2699890136719,0
2022-01-10,0.3683568320278503,0.5267,0.296,9,2,14,9,105,3,2,314.269989,314.9800109863281,1
2022-01-11,0.2377034682080925,0.1779,0.128,4,1,4,5,29,1,2,314.980011,318.2699890136719,1
2022-01-12,0.168549636803874,0.296,0.128,10,3,2,5,32,1,2,318.269989,304.79998779296875,0
2022-01-13,0.1053388646288209,0.3612,0.4939,5,1,3,5,21,1,2,304.799988,310.20001220703125,1
2022-01-14,0.1744195599022004,0.5574,0.7845,12,2,2,2,25,1,2,310.200012,312.5039978027344,1
2022-01-15,-0.3203933333333333,0.8074,0.4939,1,1,8,2,23,1,2,312.5039978027344,312.0625,0
2022-01-16,0.1062507936507936,0.296,0.5423,2,1,2,5,21,1,2,312.0625,311.0899963378906,0
2022-01-17,0.3271846153846154,0.7506,0.0,1,0,4,2,13,2,2,311.0899963378906,302.6499938964844,0
2022-01-18,0.2025814483741417,0.4019,0.4019,60,15,6,11,83,3,2,302.649994,303.3299865722656,1
2022-01-19,0.2505240522149701,0.3182,0.296,43,5,7,13,136,3,2,303.329987,301.6000061035156,0
2022-01-20,0.3074038436587739,0.4019,0.3182,15,3,18,38,309,9,2,301.600006,296.0299987792969,0
2022-01-21,0.0739393850658858,0.3612,0.3612,9,5,5,10,41,2,2,296.029999,300.9024963378906,1
2022-01-22,0.1130819494584837,0.296,0.34,5,2,3,7,35,1,2,300.9024963378906,300.9024963378906,0
2022-01-23,0.3728146103896104,0.5994,0.0,5,0,7,6,52,2,2,300.9024963378906,296.3699951171875,0
2022-01-24,-0.1766334298118668,0.1779,0.5423,7,3,4,8,58,1,2,296.369995,288.489990234375,0
2022-01-25,0.4004179061784895,0.3612,0.4215,25,2,3,5,46,1,2,288.48999,296.7099914550781,1
2022-01-26,0.3892149328859061,0.6369,0.2732,29,4,5,11,95,2,2,296.709991,299.8399963378906,1
2022-01-27,0.3176830845771144,0.4939,0.0,9,0,1,7,23,1,2,299.839996,308.260009765625,1
2022-01-28,0.0130868354430379,0.1779,0.5994,8,4,5,10,75,2,2,308.26001,297.9339904785156,0
2022-01-29,0.3405021897810218,0.6597,0.0,3,0,9,29,183,2,2,297.9339904785156,298.3249816894531,1
2022-01-30,0.5992081632653061,0.5994,0.0,5,0,4,5,30,1,2,298.3249816894531,310.9800109863281,1
2022-01-31,0.5977260321903429,0.5267,0.4767,13,1,7,15,96,1,2,310.980011,308.760009765625,0
2022-02-01,0.4581149082568808,0.34,0.0,9,0,2,9,40,1,2,308.76001,313.4599914550781,1
2022-02-02,0.6336571694599626,0.4404,0.0516,7,1,4,3,60,1,2,313.459991,301.25,0
2022-02-03,0.2540417021276596,0.5267,0.3182,8,3,5,12,79,2,2,301.25,305.94000244140625,1
2022-02-04,0.3047163498098859,0.3612,0.4019,15,2,2,4,30,1,2,305.940002,308.0780029296875,1
2022-02-05,0.3666901898734176,0.5654,0.4939,10,1,5,4,29,1,2,308.0780029296875,307.3525085449219,0
2022-02-06,0.3042571428571429,0.0258,0.0,2,0,1,1,11,0,2,307.3525085449219,300.95001220703125,0
2022-02-07,0.6715221518987342,0.8176,0.5574,7,1,2,3,36,0,2,300.950012,304.55999755859375,1
2022-02-08,0.5302082916368834,0.4215,0.0,7,0,5,36,200,1,2,304.559998,311.2099914550781,1
2022-02-09,0.1237558915073365,0.296,0.128,12,3,12,11,141,3,2,311.209991,302.3800048828125,0
2022-02-10,0.28080625,0.296,0.0,7,0,2,4,24,1,2,302.380005,295.0400085449219,0
2022-02-11,0.1852952153110048,0.1779,0.0,4,0,80,19,157,6,2,295.040009,302.8280029296875,1
2022-02-12,0.5468896774193548,0.3612,0.0,6,0,5,15,67,1,2,302.8280029296875,303.2975158691406,1
2022-02-13,0.3864353846153846,0.4588,0.0,5,0,3,5,26,1,2,303.2975158691406,295.0,0
2022-02-14,0.53644284,0.5719,0.1027,8,1,29,51,228,15,2,295.0,300.4700012207031,1
2022-02-15,0.3568669054441261,0.296,0.0,21,0,7,9,32,3,2,300.470001,299.5,0
2022-02-16,-0.1773694704049844,0.6908,0.765,7,2,3,4,36,1,2,299.5,290.7300109863281,0
2022-02-17,-0.4015044083526681,0.1779,0.6908,7,4,4,16,72,3,2,290.730011,287.92999267578125,0
2022-02-18,0.6343738738738738,0.6705,0.6597,5,1,2,5,32,1,2,287.929993,294.72601318359375,1
2022-02-19,0.3590776223776224,0.296,0.0,4,0,6,6,36,3,2,294.72601318359375,294.6575012207031,0
2022-02-20,0.3462920199941194,0.4588,0.0,6,0,194,360,2835,43,2,294.6575012207031,292.7200012207031,0
2022-02-21,0.0583126126126126,0.4404,0.4588,2,1,2,5,28,1,2,292.7200012207031,287.7200012207031,0
2022-02-22,0.209961036036036,0.296,0.1027,9,1,3,14,45,1,2,287.720001,280.2699890136719,0
2022-02-23,0.3067993948562784,0.3182,0.0,13,0,31,9,48,2,2,280.269989,294.5899963378906,1
2022-02-24,0.1486359374999999,0.1779,0.4019,8,2,3,5,26,1,2,294.589996,297.30999755859375,1
2022-02-25,0.0086234042553191,0.1779,0.4019,5,2,2,4,18,1,2,297.309998,289.9725036621094,0
2022-02-26,0.34,0.34,0.0,1,0,0,4,18,1,2,289.9725036621094,289.9725036621094,0
2022-02-27,0.0165542595019659,0.1779,0.0,1,0,24,44,382,2,2,289.9725036621094,298.7900085449219,1
2022-02-28,0.0242970588235294,0.1779,0.1027,2,1,2,7,34,1,2,298.790009,294.95001220703125,0
2022-03-01,0.1305860902255639,0.2732,0.0,3,0,10,40,200,4,2,294.950012,300.19000244140625,1
2022-03-02,0.1871265625,0.1779,0.0,3,0,2,6,22,1,2,300.190002,295.9200134277344,0
2022-03-03,0.194198926380368,0.1779,0.1531,7,1,7,28,145,3,2,295.920013,289.8599853515625,0
