date,weighted_avg_sentiment_score,daywise_median_positive_score,daywise_median_negative_score,daywise_positive_tweet_count,daywise_negative_tweet_count,daywise_avg_replyCount,daywise_avg_retweetCount,daywise_avg_likeCount,daywise_avg_quoteCount,company
2022-01-01,0.21028435754189945,0.5719,0.2732,6,3,2,4,20,1,4
2022-01-02,0.6138022012578617,0.6249,0.0,4,0,6,10,80,1,4
2022-01-03,0.002453401797175877,0.34,0.34,14,1,4,13,52,2,4
2022-01-04,0.6865313131313131,0.7096,0.4215,9,1,3,4,20,1,4
2022-01-05,0.2931895336787565,0.4404,0.3612,13,2,4,11,65,2,4
2022-01-06,0.5879135902636917,0.4404,0.0,15,0,4,7,33,2,4
2022-01-07,0.6793685,0.5574,0.1576,9,1,6,13,40,2,4
2022-01-08,0.13666359158083297,0.6597,0.6003,9,4,8,22,172,2,4
2022-01-09,0.4961241676942046,0.6249,0.0258,7,1,3,14,102,32,4
2022-01-10,0.21838564593301438,0.5423,0.5267,11,4,25,21,307,4,4
2022-01-11,0.5479411598302687,0.6124,0.4404,16,1,3,5,42,1,4
2022-01-12,0.7521577123501823,0.4767,0.0,17,0,18,19,226,2,4
2022-01-13,0.34205803357314146,0.5859,0.802,16,2,3,3,47,1,4
2022-01-14,0.6192038878266412,0.4939,0.0,15,0,4,11,105,1,4
2022-01-15,0.26007271648873076,0.4767,0.3182,13,2,20,10,113,1,4
2022-01-16,0.23154234503360716,0.5574,0.34,15,7,4,5,61,1,4
2022-01-17,0.2874221374045801,0.6808,0.0,7,0,2,14,57,2,4
2022-01-18,0.506760197368421,0.5994,0.0772,8,1,7,5,34,1,4
2022-01-19,0.5662105917667241,0.4404,0.1779,12,1,13,17,180,1,4
2022-01-20,0.49076912280701757,0.4939,0.0,13,0,2,3,22,1,4
2022-01-21,-0.027175021987686846,0.4404,0.4226,20,6,8,13,127,2,4
2022-01-22,0.20446412855377005,0.3612,0.3612,14,2,6,46,238,12,4
2022-01-23,0.8442732571428573,0.8316,0.0,12,0,16,34,219,7,4
2022-01-24,0.3778082026537998,0.4939,0.6369,20,2,27,13,151,2,4
2022-01-25,0.5217677524429967,0.4404,0.0,8,0,1,11,39,1,4
2022-01-26,0.6388695852534562,0.6705,0.0,18,0,4,6,37,1,4
2022-01-27,0.8624086249999999,0.6597,0.0,13,0,10,29,185,1,4
2022-01-28,0.39423065843621397,0.6908,0.6249,13,2,6,6,33,1,4
2022-01-29,0.44058485714285717,0.5994,0.1027,10,1,18,6,32,1,4
2022-01-30,0.34222222222222226,0.5859,0.0,9,0,7,12,60,1,4
2022-01-31,0.412877802690583,0.4703,0.0,15,0,3,5,30,1,4
2022-02-01,0.5295688796680499,0.4767,0.0,20,0,5,6,58,1,4
2022-02-02,0.08049607843137252,0.4588,0.5574,13,2,5,6,42,1,4
2022-02-03,0.4132974529147983,0.4939,0.296,58,9,7,8,79,2,4
2022-02-04,0.32243116152140544,0.6249,0.3612,65,10,7,11,77,2,4
2022-02-05,0.4834802056555269,0.7096,0.6124,20,4,5,11,65,2,4
2022-02-06,0.3051049019607844,0.6808,0.128,9,3,4,5,26,1,4
2022-02-07,0.6108817820206843,0.6124,0.2263,30,1,5,6,41,1,4
2022-02-08,0.764169487983281,0.6808,0.4019,16,1,7,17,57,3,4
2022-02-09,0.6848366167023554,0.7184,0.0,13,0,5,6,36,1,4
2022-02-10,0.47982449908925323,0.4215,0.0,19,0,4,6,58,1,4
2022-02-11,0.40981349480968854,0.891,0.0,7,0,50,14,124,4,4
2022-02-12,0.5306272168568921,0.5994,0.1779,11,1,3,9,95,1,4
2022-02-13,0.37561813186813187,0.4767,0.0,3,0,4,11,61,2,4
2022-02-14,0.5937681687440077,0.4019,0.4019,11,2,4,8,81,1,4
2022-02-15,0.5695656146179402,0.4404,0.3612,12,3,4,6,38,1,4
2022-02-16,0.5313064516129032,0.4767,0.8323,20,1,4,7,43,2,4
2022-02-17,0.08778276494316098,0.2263,0.5423,27,8,6,11,78,3,4
2022-02-18,0.06327482993197278,0.4019,0.5267,7,3,3,8,30,1,4
2022-02-19,0.4748081223628693,0.6808,0.34,10,1,3,8,79,1,4
2022-02-20,0.37960533625730997,0.5994,0.0,7,0,13,19,196,2,4
2022-02-21,0.26499382716049386,0.1779,0.34,6,1,2,4,35,0,4
2022-02-22,0.2936959642637092,0.1779,0.0,12,0,12,32,271,5,4
2022-02-23,0.6819336458333335,0.7096,0.2732,18,1,5,28,51,1,4
2022-02-24,-0.0364412111017662,0.2023,0.2306,9,5,5,8,85,1,4
2022-02-25,0.6210706398996237,0.4939,0.0516,11,1,4,9,67,2,4
2022-02-26,0.5111073825503356,0.4939,0.0,3,0,3,4,50,1,4
2022-02-27,0.7744070000000001,0.5267,0.34,6,1,2,9,72,1,4
2022-02-28,0.602321875,0.6808,0.0,10,0,3,22,26,1,4
2022-03-01,0.5341205202312138,0.7506,0.6249,9,2,4,4,32,1,4
2022-03-02,0.3476778118609407,0.4404,0.25,18,8,8,12,38,2,4
2022-03-03,0.20162168933428776,0.3612,0.25,14,6,4,14,70,2,4
2022-03-04,0.636917191011236,0.4404,0.4588,18,1,5,7,47,1,4
2022-03-05,0.20075911111111114,0.4404,0.34,6,4,3,4,23,1,4
2022-03-06,0.3896821867321868,0.6124,0.128,9,7,5,11,51,2,4
2022-03-07,0.6572111896348646,0.5574,0.25,11,1,26,27,71,3,4
2022-03-08,0.47342,0.5574,0.577,7,2,13,15,38,2,4
2022-03-09,0.4871638533178114,0.4404,0.4939,56,1,5,18,91,5,4
2022-03-10,0.4169007637474542,0.5719,0.5267,40,2,5,8,46,1,4
2022-03-11,0.0047934234234233986,0.25,0.4019,15,2,7,8,66,1,4
2022-03-12,0.40002565320665073,0.6597,0.5267,13,2,2,5,29,1,4
2022-03-13,0.21422334558823533,0.5423,0.5574,9,2,4,7,50,1,4
2022-03-14,0.19186307847082493,0.5574,0.0516,11,1,9,27,83,3,4
2022-03-15,0.7070121239744758,0.4404,0.0,12,0,14,16,92,3,4
2022-03-16,0.40629882640586795,0.7579,0.3818,15,3,10,26,114,5,4
2022-03-17,0.20686394472361805,0.1779,0.0258,9,1,6,21,145,1,4
2022-03-18,0.7480097427903352,0.6705,0.128,12,1,4,25,99,1,4
2022-03-19,0.7956811129848229,0.5994,0.0,6,0,7,77,198,3,4
2022-03-20,0.3263149367088608,0.5994,0.4153,5,3,2,8,50,2,4
2022-03-21,0.4544592393086328,0.5994,0.0,20,0,14,150,1017,16,4
2022-03-22,0.5173892307692308,0.6908,0.3182,11,1,2,3,20,1,4
2022-03-23,0.6054008181818182,0.6249,0.0,10,0,6,14,110,3,4
2022-03-24,0.4893636274509804,0.5574,0.2023,13,3,4,10,64,1,4
2022-03-25,0.5106983516483516,0.6808,0.2263,13,3,3,5,35,1,4
2022-03-26,0.429348755186722,0.2732,0.0,8,0,2,16,61,1,4
2022-03-27,0.5405922330097088,0.5859,0.0,7,0,2,3,15,1,4
2022-03-28,0.4139688766114181,0.1779,0.0,10,0,12,9,55,1,4
2022-03-29,0.7607103332085361,0.5423,0.0,11,0,21,80,243,5,4
2022-03-30,0.5818131313131313,0.6686,0.0,7,0,2,3,15,0,4
2022-03-31,0.6726721079691518,0.4404,0.0,17,0,4,17,46,1,4
2022-04-01,0.4963126520681266,0.5849,0.0,13,0,3,5,32,1,4
2022-04-02,0.4996903225806452,0.5859,0.0258,6,1,4,5,31,1,4
2022-04-03,0.4227556675062973,0.4939,0.0772,10,3,3,5,57,1,4
2022-04-04,0.020056198347107437,0.4588,0.4404,6,2,4,12,91,1,4
2022-04-05,0.2727448070035814,0.6808,0.3182,13,1,7,55,180,8,4
2022-04-06,0.2988458333333333,0.4019,0.2732,6,1,3,5,18,2,4
2022-04-07,0.5675304878048781,0.5423,0.5719,14,1,7,8,47,1,4
2022-04-08,0.4190741163055873,0.1779,0.5267,14,3,5,10,52,1,4
2022-04-09,0.5364676767676767,0.5994,0.4588,6,2,5,3,38,1,4
2022-04-10,0.032875097783572366,0.5994,0.3182,10,2,22,62,831,8,4
2022-04-11,0.6968957212713935,0.5719,0.4767,15,2,6,9,49,1,4
2022-04-12,0.46798229885057474,0.5423,0.0772,13,2,4,6,29,1,4
2022-04-13,0.4649648854961832,0.4939,0.0,6,0,2,3,22,1,4
2022-04-14,0.4382476394849786,0.4939,0.2716,13,2,4,9,32,2,4
2022-04-15,0.6220850993377485,0.5994,0.0,10,0,25,7,31,1,4
2022-04-16,0.5968821428571429,0.6124,0.0,3,0,2,3,28,1,4
2022-04-17,0.08510985915492958,0.4939,0.1372,3,1,3,0,18,0,4
2022-04-18,0.3427830882352941,0.6249,0.2023,9,2,3,4,13,1,4
2022-04-19,0.38779443447037704,0.5106,0.4576,15,3,3,6,31,1,4
2022-04-20,0.2891832432432432,0.4588,0.5574,14,2,4,6,24,1,4
2022-04-21,0.06119606557377047,0.5106,0.6705,10,1,5,5,28,1,4
2022-04-22,0.6242630109670987,0.7003,0.0,11,0,10,14,92,2,4
2022-04-23,0.3107988888888889,0.4404,0.0258,10,1,9,5,33,1,4
2022-04-24,0.3544563352826511,0.6124,0.0,10,0,7,10,47,1,4
2022-04-25,0.048905498981670056,0.5423,0.1531,13,1,10,18,106,2,4
2022-04-26,0.25738248730964464,0.4404,0.4939,18,4,6,5,35,1,4
2022-04-27,0.07568574514038877,0.2927,0.128,12,1,3,6,36,1,4
2022-04-28,0.26414359826393596,0.4404,0.1531,44,11,23,33,250,6,4
2022-04-29,0.16902254040260853,0.4404,0.296,44,40,12,18,83,4,4
2022-04-30,0.24410206730769227,0.6124,0.3612,25,15,10,9,52,2,4
2022-05-01,0.27652411347517736,0.7184,0.3818,12,3,11,10,47,2,4
2022-05-02,0.5151761562998406,0.5574,0.1027,15,3,7,14,70,1,4
2022-05-03,0.624479835873388,0.4767,0.128,17,2,7,7,45,1,4
2022-05-04,0.40162306805074977,0.6908,0.5859,14,1,5,11,58,2,4
2022-05-05,0.39212132512671966,0.4404,0.296,24,6,6,8,93,1,4
2022-05-06,0.29567370764283946,0.5994,0.25,20,3,10,15,169,3,4
2022-05-07,0.34937881567973317,0.4767,0.5106,10,3,23,25,185,2,4
2022-05-08,-0.13423537774167343,0.3182,0.3612,6,1,16,49,352,5,4
2022-05-09,0.44233941818181816,0.4404,0.34,24,8,5,20,86,2,4
2022-05-10,0.17757876016260163,0.25,0.4404,16,6,4,7,45,2,4
2022-05-11,0.04585764957264957,0.3818,0.4215,20,7,10,14,87,2,4
2022-05-12,0.2214047595682041,0.4215,0.4504,29,11,5,11,50,2,4
2022-05-13,0.544944665012407,0.5719,0.0,14,0,3,7,29,1,4
2022-05-14,0.4412369309462916,0.1779,0.2023,12,3,7,19,131,2,4
2022-05-15,0.16214827586206895,0.1779,0.2023,6,3,3,3,20,0,4
2022-05-16,-0.01976660976442472,0.5574,0.128,11,3,15,41,210,10,4
2022-05-17,0.16738211716341214,0.6808,0.4391,15,3,6,10,55,2,4
2022-05-18,0.0515775718257646,0.1779,0.1027,12,3,17,20,191,3,4
2022-05-19,0.5926774767146484,0.296,0.6943,17,1,6,7,63,2,4
2022-05-20,0.5640616473616474,0.5574,0.1779,14,3,9,23,138,2,4
2022-05-21,0.27040822179732316,0.4404,0.5267,11,2,3,8,41,1,4
2022-05-22,0.6729822345593338,0.6808,0.4019,10,1,10,15,131,2,4
2022-05-23,0.27124870017331026,0.4404,0.4767,14,2,3,7,37,1,4
2022-05-24,0.3635584471603163,0.5413,0.2732,19,3,9,17,121,2,4
2022-05-25,0.4096194560669456,0.2263,0.0516,14,3,4,5,29,1,4
2022-05-26,0.3665881331403763,0.5859,0.4019,15,4,3,6,37,1,4
2022-05-27,0.484775,0.5719,0.5859,16,2,3,5,26,1,4
2022-05-28,-0.4116941364082433,0.1779,0.8442,11,2,12,45,314,3,4
2022-05-29,0.2838056526207606,0.7717,0.3612,8,1,5,19,109,1,4
2022-05-30,0.6258142857142857,0.7096,0.25,7,1,4,5,83,2,4
2022-05-31,0.30672413793103454,0.5267,0.4939,15,3,4,5,23,1,4
2022-06-01,0.14574660342717258,0.3612,0.0,17,0,8,65,182,5,4
2022-06-02,0.5671335456475584,0.6124,0.0,14,0,4,5,34,1,4
2022-06-03,0.2853119469026549,0.4404,0.1604,18,1,6,17,84,2,4
2022-06-04,0.6609080745341614,0.2023,0.0,9,0,3,5,36,1,4
2022-06-05,0.46595913043478254,0.7063,0.4588,9,2,4,10,53,1,4
2022-06-06,0.4445727123174994,0.4767,0.128,68,5,7,11,66,2,4
2022-06-07,0.4472178890876566,0.5267,0.7624,16,2,2,4,32,1,4
2022-06-08,0.49662323838080963,0.5267,0.0,13,0,4,10,52,1,4
2022-06-09,0.3433173285198556,0.4404,0.296,9,1,2,10,26,1,4
2022-06-10,0.5302981,0.4939,0.507,12,1,4,12,77,1,4
2022-06-11,0.4732551587301587,0.34,0.0,4,0,4,15,63,1,4
2022-06-12,0.7831076525821598,0.5859,0.128,5,1,22,22,355,2,4
2022-06-13,0.3237089560752994,0.5267,0.3818,17,2,19,9,93,2,4
2022-06-14,0.5392464429530203,0.5994,0.6697,19,2,3,6,36,1,4
2022-06-15,0.37646969696969707,0.6124,0.128,11,1,2,4,23,1,4
2022-06-16,0.40650892307692316,0.4939,0.8316,17,1,3,5,19,1,4
2022-06-17,0.393157343550447,0.4215,0.2023,12,2,3,11,56,1,4
2022-06-18,0.4840852161785217,0.5423,0.4215,7,2,6,27,80,2,4
2022-06-19,0.8211538461538461,0.7184,0.0,10,0,4,6,61,1,4
2022-06-20,0.7355606145251398,0.9231,0.4588,7,1,7,10,45,1,4
2022-06-21,0.48758943820224715,0.1779,0.3612,10,3,13,15,35,2,4
2022-06-22,0.3009845161290322,0.296,0.0,8,0,1,6,20,1,4
2022-06-23,0.7121843144560358,0.6597,0.5994,19,2,9,19,128,4,4
2022-06-24,0.2790668941979522,0.4588,0.5859,8,2,2,6,30,1,4
2022-06-25,0.20087030303030304,0.5994,0.91,9,2,3,6,30,1,4
2022-06-26,0.3290952662721894,0.6369,0.0,4,0,2,2,43,1,4
2022-06-27,0.4771427,0.7351,0.1566,17,1,3,9,56,1,4
2022-06-28,0.4681228971962617,0.4939,0.5267,8,1,3,5,24,1,4
2022-06-29,0.1914240875912409,0.5267,0.3182,8,2,4,9,28,1,4
2022-06-30,-0.3786768349817803,0.1779,0.4588,8,5,9,46,148,6,4
2022-07-01,-0.34779326217478324,0.6908,0.9393,9,2,7,15,137,2,4
2022-07-02,0.30113128834355823,0.4019,0.3818,7,2,1,6,19,1,4
2022-07-03,0.2808824847250509,0.5859,0.1027,7,1,6,5,45,1,4
2022-07-04,0.17503847241867043,0.7003,0.8225,6,2,12,16,89,1,4
2022-07-05,0.7678418918918919,0.5423,0.8658,16,1,5,18,109,2,4
2022-07-06,0.49722284644194753,0.4939,0.5106,14,1,5,9,54,2,4
2022-07-07,-0.11050707272727273,0.5267,0.128,11,3,6,91,393,4,4
2022-07-08,0.4527,0.6808,0.5267,11,1,5,4,26,1,4
2022-07-09,0.12752577565632459,0.1779,0.6808,4,1,7,10,84,2,4
2022-07-10,0.8137916307986609,0.875,0.0,5,0,35,75,419,6,4
2022-07-11,0.38605013623978207,0.4404,0.1779,12,2,5,5,23,1,4
2022-07-12,0.3549439579684764,0.5574,0.1779,16,2,5,7,32,1,4
2022-07-13,0.3365888563049853,0.4404,0.0,12,0,2,3,29,1,4
2022-07-14,0.35581544117647057,0.4404,0.4939,18,1,3,12,51,3,4
2022-07-15,0.3055497528830313,0.25,0.0,12,0,9,11,44,1,4
2022-07-16,0.5746555331991953,0.6124,0.7717,8,1,3,6,56,2,4
2022-07-17,0.6798000000000001,0.6597,0.34,5,1,7,8,120,2,4
2022-07-18,0.29579759939985,0.6369,0.3612,15,3,5,12,75,2,4
2022-07-19,0.2703622615803815,0.5267,0.0,11,0,8,8,57,1,4
2022-07-20,0.30752095238095245,0.5267,0.2732,8,2,5,4,32,1,4
2022-07-21,0.5669440993788821,0.5974,0.128,14,1,3,9,61,1,4
2022-07-22,0.16054896626768222,0.5267,0.0516,19,4,4,9,77,1,4
2022-07-23,0.3613991847826087,0.5267,0.0,7,0,8,12,53,1,4
2022-07-24,0.1353,0.1779,0.25,7,1,5,8,94,2,4
2022-07-25,0.5533114355231145,0.6124,0.1027,13,1,3,4,30,1,4
2022-07-26,0.3635097287184285,0.4939,0.2023,20,1,3,9,51,1,4
2022-07-27,0.31851550387596905,0.4939,0.128,16,2,5,10,36,1,4
2022-07-28,0.4517983257229831,0.5267,0.1531,37,4,4,10,49,2,4
2022-07-29,0.5845472372697723,0.5267,0.2263,38,5,8,10,65,2,4
2022-07-30,0.5489316164383561,0.5994,0.6486,11,2,8,18,141,3,4
2022-07-31,0.2555613818630475,0.2732,0.5859,12,2,8,24,116,4,4
2022-08-01,0.38517071167883216,0.5423,0.34,15,1,3,11,69,1,4
2022-08-02,0.5180196382428941,0.4767,0.0589,7,3,14,9,78,1,4
2022-08-03,0.5513209821428571,0.5106,0.0,10,0,3,4,23,0,4
2022-08-04,-0.34198360844529757,0.7906,0.4588,9,1,7,15,261,2,4
2022-08-05,0.421487521079258,0.7579,0.2023,13,1,4,10,38,5,4
2022-08-06,0.9503015679890329,0.6808,0.886,9,2,116,52,1061,9,4
2022-08-07,0.3478249134948097,0.6486,0.4404,13,1,3,3,21,1,4
2022-08-08,0.609538888888889,0.3182,0.1531,8,1,2,3,24,1,4
2022-08-09,0.3215478873239437,0.5574,0.0,13,0,4,11,46,2,4
2022-08-10,0.408162091503268,0.5267,0.5423,15,4,8,4,33,1,4
2022-08-11,0.342379797979798,0.4939,0.2732,10,1,4,8,36,1,4
2022-08-12,0.22137536617842882,0.4215,0.3612,11,3,3,16,54,1,4
2022-08-13,0.3058675213675213,0.1779,0.0,7,0,3,8,34,1,4
2022-08-14,0.7004888888888889,0.6705,0.0,4,0,3,2,18,0,4
2022-08-15,0.6620248395967002,0.5267,0.1779,10,3,5,13,78,4,4
2022-08-16,0.42329307692307694,0.4939,0.2732,11,2,17,8,28,29,4
2022-08-17,0.4090073578595318,0.6124,0.1027,9,1,2,4,30,1,4
2022-08-18,0.38584040000000003,0.1779,0.0,4,0,4,5,50,1,4
2022-08-19,0.28149606879606875,0.4215,0.4404,10,1,5,5,37,0,4
2022-08-20,0.1430609375,0.1531,0.25,4,1,4,2,26,1,4
2022-08-21,0.41932867647058825,0.34,0.0,7,0,2,7,20,1,4
2022-08-22,0.15625725062866722,0.6597,0.3182,15,3,4,17,67,2,4
2022-08-23,0.4937043356643357,0.3818,0.1531,10,3,4,14,55,3,4
2022-08-24,0.5138273684210527,0.5267,0.4767,20,2,4,5,26,2,4
2022-08-25,0.533726272352132,0.5574,0.4588,16,1,4,9,43,1,4
2022-08-26,0.369854368447329,0.4404,0.3612,18,1,7,36,106,29,4
2022-08-27,0.6400827848101266,0.6249,0.2263,7,3,6,12,79,1,4
2022-08-28,0.31040588235294114,0.3612,0.0,6,0,7,13,74,2,4
2022-08-29,0.5266772194304858,0.5267,0.1531,10,1,3,4,55,1,4
2022-08-30,0.70138,0.6369,0.4767,15,1,7,17,83,2,4
2022-08-31,0.6487222116301239,0.4767,0.0,6,0,4,51,175,3,4
2022-09-01,0.2265279891304348,0.5574,0.3262,9,2,3,6,34,2,4
2022-09-02,0.36645,0.5574,0.5393,9,1,2,5,16,0,4
2022-09-03,0.1393708200212993,0.6486,0.4019,7,3,6,11,94,1,4
2022-09-04,0.42241617312072893,0.34,0.0,9,0,4,9,49,1,4
2022-09-05,0.3691365591397849,0.5267,0.0,12,0,9,11,58,1,4
2022-09-06,0.11169341563786009,0.34,0.5994,8,1,2,8,27,1,4
2022-09-07,-0.015380612244897967,0.5106,0.802,11,2,2,5,23,1,4
2022-09-08,0.17315506072874493,0.1531,0.34,4,2,4,7,42,1,4
2022-09-09,0.7650571847507334,0.7269,0.0,10,0,2,2,35,1,4
2022-09-10,0.053392227488151645,0.5106,0.4767,5,2,4,17,151,1,4
2022-09-11,0.11729962080173349,0.3612,0.2023,5,5,11,40,336,2,4
2022-09-12,0.2155931008049061,0.4939,0.3182,20,3,12,21,109,3,4
2022-09-13,0.3739653658536586,0.3612,0.5574,12,1,5,7,32,1,4
2022-09-14,0.13125309503051438,0.4767,0.1531,12,4,3,16,72,2,4
2022-09-15,0.1459328471411902,0.34,0.4588,10,5,11,38,115,4,4
2022-09-16,0.8271659276854051,0.6124,0.0,18,0,22,36,211,5,4
2022-09-17,0.31576805416248743,0.2732,0.0,14,0,11,25,143,1,4
2022-09-18,0.38142303523035226,0.4767,0.3182,8,4,9,16,93,2,4
2022-09-19,0.5422676625659051,0.5267,0.6486,10,3,3,11,44,2,4
2022-09-20,0.5039687275985664,0.6249,0.3818,12,2,11,21,80,3,4
2022-09-21,0.029699593661113396,0.5267,0.4019,13,2,5,11,165,1,4
2022-09-22,0.2442244579358196,0.5106,0.5574,16,1,5,15,65,2,4
2022-09-23,0.43066705202312144,0.5106,0.0,10,0,4,11,35,1,4
2022-09-24,-0.09540321951219514,0.6486,0.25,5,2,11,13,147,2,4
2022-09-25,0.6718327755905511,0.4404,0.25,9,1,11,41,204,2,4
2022-09-26,0.3494579112681586,0.6249,0.5423,13,1,9,11,182,1,4
2022-09-27,0.3474170068027211,0.4404,0.2732,11,1,2,3,21,1,4
2022-09-28,0.5703296874999999,0.5267,0.34,14,1,2,6,18,1,4
2022-09-29,0.42936566265060244,0.4404,0.4215,8,1,6,7,56,1,4
2022-09-30,0.7282934246575342,0.1779,0.4588,6,1,5,8,53,1,4
2022-10-01,0.6458168958742633,0.5994,0.4588,7,1,3,19,64,2,4
2022-10-02,0.3554127419354838,0.6808,0.6478,7,1,2,14,78,1,4
2022-10-03,0.4158505847953217,0.5106,0.5719,11,2,6,4,27,1,4
2022-10-04,-0.1371395225464191,0.5719,0.4215,7,2,5,11,42,1,4
2022-10-05,0.47205758039816226,0.4767,0.0,12,0,4,8,55,1,4
2022-10-06,0.2061974719101123,0.2023,0.5096,8,2,5,9,36,1,4
2022-10-07,0.7639660032715376,0.5719,0.0,9,0,62,92,367,11,4
2022-10-08,0.1379969465648855,0.1779,0.0,4,0,3,21,27,1,4
2022-10-09,0.6880763663220089,0.4939,0.0,6,0,7,14,113,2,4
2022-10-10,0.33206947835738065,0.5267,0.0516,14,1,5,10,61,1,4
2022-10-11,0.6319996287128713,0.743,0.4951,21,2,5,15,68,2,4
2022-10-12,-0.07787944162436555,0.3818,0.6124,7,4,6,42,180,4,4
2022-10-13,0.3688666666666666,0.3612,0.4019,16,4,3,9,40,1,4
2022-10-14,0.7015679069767441,0.5859,0.0772,5,2,22,14,81,1,4
2022-10-15,0.484867252195734,0.4404,0.4939,11,1,6,12,67,1,4
2022-10-16,0.5411094430992737,0.5574,0.2732,9,2,8,18,113,7,4
2022-10-17,0.6964974137931035,0.7351,0.0,9,0,4,3,26,1,4
2022-10-18,0.7527048042704627,0.6124,0.9201,8,2,3,6,57,1,4
2022-10-19,-0.6754806615776081,0.6124,0.8225,9,2,11,110,286,10,4
2022-10-20,0.4260913580246914,0.4404,0.4215,8,1,2,2,18,1,4
2022-10-21,0.5543142086608106,0.8072,0.1779,19,3,12,109,295,11,4
2022-10-22,0.021836871508379863,0.6486,0.4939,5,2,2,9,26,1,4
2022-10-23,0.6067612842304061,0.7003,0.0,7,0,58,60,152,4,4
2022-10-24,0.22517846153846158,0.4019,0.0,15,0,5,20,78,2,4
2022-10-25,0.52282671875,0.6036,0.0,11,0,5,11,59,7,4
2022-10-26,0.4943987525987526,0.4939,0.2263,8,1,4,12,54,1,4
2022-10-27,0.3844797353114727,0.3818,0.2732,71,15,10,15,135,2,4
2022-10-28,0.04577248062015503,0.4588,0.34,53,14,9,13,116,2,4
2022-10-29,0.3011831784386617,0.4404,0.5574,14,1,5,12,72,1,4
2022-10-30,0.2307265853658536,0.6705,0.5267,9,2,11,17,75,2,4
2022-10-31,0.5087639828489757,0.5267,0.891,16,1,5,16,124,3,4
2022-11-01,0.49692830188679243,0.5267,0.1779,16,1,6,13,72,1,4
2022-11-02,0.46385125831645935,0.4939,0.1779,20,1,14,37,165,7,4
2022-11-03,0.1987490092470278,0.7269,0.1779,14,2,9,9,48,2,4
2022-11-04,0.23734701357466065,0.5267,0.1531,13,4,9,24,130,3,4
2022-11-05,0.29277531422825537,0.1779,0.1779,16,3,7,28,105,3,4
2022-11-06,0.08001597222222222,0.4767,0.3612,5,3,4,13,72,1,4
2022-11-07,0.39309593023255823,0.5719,0.5267,6,1,10,8,25,1,4
2022-11-08,0.49027020648967556,0.7096,0.4905,9,3,5,10,57,1,4
2022-11-09,0.5460414985590777,0.1779,0.2263,8,1,4,13,105,2,4
2022-11-10,0.34323923766816145,0.4939,0.7845,12,2,3,9,32,1,4
2022-11-11,0.44202248858447496,0.5423,0.1779,11,3,10,7,63,2,4
2022-11-12,0.2887378486055777,0.5267,0.1531,7,2,6,9,56,1,4
