date,weighted_avg_sentiment_score,daywise_median_positive_score,daywise_median_negative_score,daywise_positive_tweet_count,daywise_negative_tweet_count,daywise_avg_replyCount,daywise_avg_retweetCount,daywise_avg_likeCount,daywise_avg_quoteCount,company
2022-01-01,0.5865996240601504,0.34,0.0,6,0,4,14,133,2,5
2022-01-02,0.3558663905325443,0.296,0.8748,6,2,4,19,106,15,5
2022-01-03,0.36245062573001846,0.4019,0.4215,60,3,6,19,87,4,5
2022-01-04,0.381182298805561,0.5859,0.296,60,5,3,9,67,1,5
2022-01-05,0.5372709828393136,0.5719,0.5859,27,3,5,16,101,2,5
2022-01-06,0.2456930913348946,0.4404,0.5719,22,3,3,5,29,1,5
2022-01-07,0.23286588652482268,0.5267,0.4939,21,6,6,8,49,1,5
2022-01-08,0.3988127632418634,0.4767,0.6486,20,2,5,15,69,4,5
2022-01-09,0.28824606060606073,0.3182,0.2732,8,3,3,9,28,2,5
2022-01-10,0.25574232943837166,0.4588,0.4215,22,7,7,10,79,2,5
2022-01-11,0.19811335578002243,0.3612,0.1779,21,4,3,9,64,2,5
2022-01-12,-0.03787954680977934,0.3612,0.3182,18,6,3,11,63,1,5
2022-01-13,0.38894073319755607,0.4019,0.4404,19,2,2,4,21,1,5
2022-01-14,0.3637099195710456,0.5994,0.4019,23,6,3,4,25,1,5
2022-01-15,0.4033882414151926,0.4404,0.4019,12,3,6,7,65,1,5
2022-01-16,0.048892743105950646,0.4019,0.343,8,4,3,7,39,1,5
2022-01-17,-0.09783075411446819,0.5302,0.7003,19,1,5,23,177,2,5
2022-01-18,0.3885215277777778,0.5994,0.5574,26,2,6,6,81,2,5
2022-01-19,0.10288222483814007,0.5106,0.2732,12,4,4,11,95,1,5
2022-01-20,0.4027188731284474,0.296,0.6597,31,2,6,7,75,2,5
2022-01-21,0.4013769296740995,0.4019,0.2732,23,3,7,16,90,2,5
2022-01-22,0.23471792452830192,0.3182,0.0,10,0,4,10,46,2,5
2022-01-23,0.2658821153846153,0.5719,0.4588,2,2,5,8,75,1,5
2022-01-24,0.1366826589595376,0.4588,0.4588,18,6,4,8,58,1,5
2022-01-25,-0.09323875134553275,0.5267,0.3182,20,9,5,10,60,1,5
2022-01-26,0.24227732824427484,0.4404,0.34,20,3,6,13,105,1,5
2022-01-27,0.2902612327111588,0.5302,0.4404,35,8,9,18,121,4,5
2022-01-28,0.2256215666065447,0.4588,0.3612,67,13,18,38,201,5,5
2022-01-29,0.47423821961620466,0.5994,0.296,24,5,19,22,126,3,5
2022-01-30,0.35247116883116886,0.4404,0.5574,17,2,4,7,37,1,5
2022-01-31,0.24183206997084547,0.4404,0.4767,30,3,15,22,109,4,5
2022-02-01,0.3141148288973383,0.6369,0.3182,28,1,3,5,33,1,5
2022-02-02,0.4369136894824708,0.5423,0.1531,15,2,4,4,34,1,5
2022-02-03,0.19316986910348236,0.34,0.25,28,12,5,13,87,3,5
2022-02-04,0.6317517189835574,0.4588,0.2235,32,5,4,12,89,1,5
2022-02-05,0.20660479887085398,0.4019,0.4939,12,3,6,12,89,1,5
2022-02-06,0.4979219512195122,0.6124,0.0,14,0,9,32,156,4,5
2022-02-07,0.3553130183220829,0.4767,0.2732,27,5,4,10,61,1,5
2022-02-08,0.7910073961499492,0.743,0.128,11,1,7,24,76,4,5
2022-02-09,0.22930289514866975,0.5267,0.128,23,5,7,11,80,2,5
2022-02-10,0.5994439524702938,0.6369,0.5423,24,6,13,36,250,6,5
2022-02-11,0.24901492418196333,0.5994,0.0,16,0,15,21,70,2,5
2022-02-12,0.6065251346499103,0.6249,0.1027,9,1,4,12,51,1,5
2022-02-13,-0.06561145833333333,0.1779,0.7351,4,3,7,13,24,1,5
2022-02-14,0.425112143928036,0.5267,0.2263,17,3,3,5,32,1,5
2022-02-15,0.20827856200527703,0.4215,0.1027,13,1,4,11,102,1,5
2022-02-16,0.47930994764397905,0.7184,0.4215,13,5,2,7,39,1,5
2022-02-17,0.05484278093883357,0.5267,0.1027,20,7,8,16,101,3,5
2022-02-18,0.35195388933440264,0.4939,0.2263,19,3,2,8,52,1,5
2022-02-19,0.4029589887640449,0.7003,0.8779,9,2,3,5,30,1,5
2022-02-20,0.3262967156439066,0.5859,0.128,10,1,8,9,106,2,5
2022-02-21,0.3253770462633452,0.5267,0.6808,6,2,5,8,57,1,5
2022-02-22,0.4107485094850948,0.5423,0.5106,20,1,5,14,65,2,5
2022-02-23,0.3682685230024213,0.4215,0.5719,20,1,3,5,19,1,5
2022-02-24,0.42272796208530794,0.4019,0.6369,14,2,2,7,38,1,5
2022-02-25,0.41376297709923665,0.4404,0.2732,17,3,3,6,27,1,5
2022-02-26,0.3462760690172543,0.5423,0.4019,9,2,5,14,89,1,5
