date,weighted_avg_sentiment_score,daywise_median_positive_score,daywise_median_negative_score,daywise_positive_tweet_count,daywise_negative_tweet_count,daywise_avg_replyCount,daywise_avg_retweetCount,daywise_avg_likeCount,daywise_avg_quoteCount,company
2022-01-01,0.5562448275862069,0.4019,0.0,2,0,3,1,15,0,2
2022-01-02,0.27469397590361444,0.4588,0.1779,2,1,5,4,28,1,2
2022-01-03,0.14952740899357606,0.4404,0.34,9,1,6,26,94,3,2
2022-01-04,0.5397928143712576,0.6369,0.0,7,0,1,4,24,1,2
2022-01-05,0.2557099728014506,0.296,0.3612,13,1,4,9,79,2,2
2022-01-06,0.7059400000000001,0.4019,0.0,6,0,5,8,41,2,2
2022-01-07,0.05703411764705881,0.1779,0.4939,6,1,3,4,22,0,2
2022-01-08,0.38599845201238386,0.34,0.0,11,0,3,12,81,1,2
2022-01-09,0.5532419310344828,0.4767,0.0,6,0,4,26,104,2,2
2022-01-10,0.36835683202785036,0.5267,0.296,9,2,14,9,105,3,2
2022-01-11,0.2377034682080925,0.1779,0.128,4,1,4,5,29,1,2
2022-01-12,0.16854963680387408,0.296,0.128,10,3,2,5,32,1,2
2022-01-13,0.10533886462882094,0.3612,0.4939,5,1,3,5,21,1,2
2022-01-14,0.17441955990220048,0.5574,0.7845,12,2,2,2,25,1,2
2022-01-15,-0.3203933333333333,0.8074,0.4939,1,1,8,2,23,1,2
2022-01-16,0.10625079365079362,0.296,0.5423,2,1,2,5,21,1,2
2022-01-17,0.3271846153846154,0.7506,0.0,1,0,4,2,13,2,2
2022-01-18,0.20258144837414174,0.4019,0.4019,60,15,6,11,83,3,2
2022-01-19,0.2505240522149701,0.3182,0.296,43,5,7,13,136,3,2
2022-01-20,0.30740384365877393,0.4019,0.3182,15,3,18,38,309,9,2
2022-01-21,0.07393938506588581,0.3612,0.3612,9,5,5,10,41,2,2
2022-01-22,0.11308194945848378,0.296,0.34,5,2,3,7,35,1,2
2022-01-23,0.37281461038961045,0.5994,0.0,5,0,7,6,52,2,2
2022-01-24,-0.17663342981186686,0.1779,0.5423,7,3,4,8,58,1,2
2022-01-25,0.40041790617848955,0.3612,0.4215,25,2,3,5,46,1,2
2022-01-26,0.3892149328859061,0.6369,0.2732,29,4,5,11,95,2,2
2022-01-27,0.3176830845771144,0.4939,0.0,9,0,1,7,23,1,2
2022-01-28,0.013086835443037965,0.1779,0.5994,8,4,5,10,75,2,2
2022-01-29,0.34050218978102187,0.6597,0.0,3,0,9,29,183,2,2
2022-01-30,0.5992081632653061,0.5994,0.0,5,0,4,5,30,1,2
2022-01-31,0.5977260321903429,0.5267,0.4767,13,1,7,15,96,1,2
2022-02-01,0.4581149082568808,0.34,0.0,9,0,2,9,40,1,2
2022-02-02,0.6336571694599626,0.4404,0.0516,7,1,4,3,60,1,2
2022-02-03,0.25404170212765964,0.5267,0.3182,8,3,5,12,79,2,2
2022-02-04,0.30471634980988593,0.3612,0.4019,15,2,2,4,30,1,2
2022-02-05,0.36669018987341767,0.5654,0.4939,10,1,5,4,29,1,2
2022-02-06,0.3042571428571429,0.0258,0.0,2,0,1,1,11,0,2
2022-02-07,0.6715221518987342,0.8176,0.5574,7,1,2,3,36,0,2
2022-02-08,0.5302082916368834,0.4215,0.0,7,0,5,36,200,1,2
2022-02-09,0.12375589150733657,0.296,0.128,12,3,12,11,141,3,2
2022-02-10,0.28080625,0.296,0.0,7,0,2,4,24,1,2
2022-02-11,0.1852952153110048,0.1779,0.0,4,0,80,19,157,6,2
2022-02-12,0.5468896774193548,0.3612,0.0,6,0,5,15,67,1,2
2022-02-13,0.3864353846153846,0.4588,0.0,5,0,3,5,26,1,2
2022-02-14,0.53644284,0.5719,0.1027,8,1,29,51,228,15,2
2022-02-15,0.3568669054441261,0.296,0.0,21,0,7,9,32,3,2
2022-02-16,-0.1773694704049844,0.6908,0.765,7,2,3,4,36,1,2
2022-02-17,-0.4015044083526681,0.1779,0.6908,7,4,4,16,72,3,2
2022-02-18,0.6343738738738738,0.6705,0.6597,5,1,2,5,32,1,2
2022-02-19,0.3590776223776224,0.296,0.0,4,0,6,6,36,3,2
2022-02-20,0.3462920199941194,0.4588,0.0,6,0,194,360,2835,43,2
2022-02-21,0.058312612612612606,0.4404,0.4588,2,1,2,5,28,1,2
2022-02-22,0.20996103603603605,0.296,0.1027,9,1,3,14,45,1,2
2022-02-23,0.3067993948562784,0.3182,0.0,13,0,31,9,48,2,2
2022-02-24,0.14863593749999998,0.1779,0.4019,8,2,3,5,26,1,2
2022-02-25,0.008623404255319158,0.1779,0.4019,5,2,2,4,18,1,2
2022-02-26,0.34,0.34,0.0,1,0,0,4,18,1,2
2022-02-27,0.016554259501965925,0.1779,0.0,1,0,24,44,382,2,2
2022-02-28,0.02429705882352941,0.1779,0.1027,2,1,2,7,34,1,2
2022-03-01,0.1305860902255639,0.2732,0.0,3,0,10,40,200,4,2
2022-03-02,0.1871265625,0.1779,0.0,3,0,2,6,22,1,2
2022-03-03,0.19419892638036806,0.1779,0.1531,7,1,7,28,145,3,2
2022-03-04,0.24657029702970298,0.3612,0.5267,10,2,3,5,26,1,2
2022-03-05,0.5397009433962264,0.8225,0.0,3,0,3,3,22,1,2
2022-03-06,0.33645624999999996,0.5423,0.0,3,0,3,13,64,1,2
2022-03-07,0.13441967213114756,0.1779,0.0,3,0,1,7,21,1,2
2022-03-08,0.4862526785714286,0.5574,0.0,7,0,2,4,16,1,2
2022-03-09,0.30664675757575754,0.5943,0.5267,13,3,10,32,158,16,2
2022-03-10,0.6190674965421852,0.4745,0.5267,11,1,5,9,121,2,2
