date,weighted_avg_sentiment_score,daywise_median_positive_score,daywise_median_negative_score,daywise_positive_tweet_count,daywise_negative_tweet_count,daywise_avg_replyCount,daywise_avg_retweetCount,daywise_avg_likeCount,daywise_avg_quoteCount,company
2022-01-01,0.3480822370617696,0.7096,0.4678,15,8,10,8,116,2,3
2022-01-02,0.4820606677796328,0.5994,0.2732,28,9,8,7,75,1,3
2022-01-03,0.20489569904548,0.4588,0.4215,84,9,5,12,85,2,3
2022-01-04,0.3879773631840797,0.5719,0.2023,41,7,4,5,58,1,3
2022-01-05,0.6454381930762735,0.5423,0.34,24,3,8,10,115,2,3
2022-01-06,0.44661609195402296,0.5267,0.5106,21,3,3,3,33,1,3
2022-01-07,0.5475106678230701,0.5574,0.4939,27,2,7,9,112,2,3
2022-01-08,0.42364356938710696,0.5994,0.6124,22,3,7,15,113,2,3
2022-01-09,0.496686547670875,0.6249,0.5574,11,3,22,51,128,65,3
2022-01-10,0.6337709255898367,0.6369,0.4767,23,8,6,6,79,1,3
2022-01-11,0.47200904534062427,0.5994,0.4767,27,5,7,14,126,1,3
2022-01-12,0.15958960328317373,0.4939,0.3818,18,7,5,4,48,1,3
2022-01-13,0.3584596359070936,0.4939,0.3612,23,6,5,4,47,1,3
2022-01-14,0.35130627381999413,0.4939,0.4939,42,10,9,6,63,1,3
2022-01-15,-0.021884722222222205,0.6369,0.5859,18,4,11,23,190,4,3
2022-01-16,-0.5790365506921064,0.4019,0.3612,10,7,20,9,149,2,3
2022-01-17,0.45491808,0.3818,0.128,10,3,4,5,37,1,3
2022-01-18,0.5302650519031142,0.4019,0.128,18,4,5,5,40,1,3
2022-01-19,0.02605732484076433,0.4019,0.5719,14,7,6,7,69,1,3
2022-01-20,0.6349442232799655,0.4588,0.296,17,3,7,11,106,2,3
2022-01-21,0.4503839850391023,0.4019,0.4847,30,5,10,6,82,2,3
2022-01-22,-0.2570643835616438,0.4019,0.5267,16,9,9,6,63,1,3
2022-01-23,0.22018501461988305,0.3612,0.5267,10,3,14,12,183,3,3
2022-01-24,0.22870252945252947,0.5719,0.5574,27,9,5,8,69,1,3
2022-01-25,-0.03621742969260956,0.5719,0.5719,22,7,8,10,102,1,3
2022-01-26,0.13182160434643655,0.4404,0.4349,29,7,4,6,62,1,3
2022-01-27,0.15347524427074077,0.5559,0.5719,52,11,9,15,151,2,3
2022-01-28,0.27858821714990745,0.4404,0.4939,58,17,13,9,81,2,3
2022-01-29,0.38135138101982996,0.5106,0.5719,21,5,16,10,101,2,3
2022-01-30,0.18774461256304456,0.6486,0.4792,16,7,8,8,91,1,3
2022-01-31,0.38486171630094046,0.4404,0.4939,25,4,11,6,76,2,3
2022-02-01,0.6176522253129347,0.3612,0.6908,19,3,5,15,103,2,3
2022-02-02,-0.018609767687434005,0.3612,0.34,16,4,5,11,79,4,3
2022-02-03,0.21807772455089816,0.296,0.7579,11,4,3,4,38,1,3
2022-02-04,0.33352220421393836,0.296,0.3597,13,4,4,3,35,1,3
2022-02-05,0.3081998203592814,0.6486,0.4939,10,2,10,16,112,3,3
2022-02-06,0.5825407272727273,0.4404,0.0,15,0,4,4,19,1,3
2022-02-07,0.26452488432910887,0.4939,0.2782,16,5,18,21,217,2,3
2022-02-08,0.5467484009840098,0.5106,0.4019,17,5,7,15,61,2,3
2022-02-09,0.393092505854801,0.6705,0.5994,18,2,2,2,18,1,3
2022-02-10,0.25568250211327137,0.296,0.1531,15,3,5,5,60,1,3
2022-02-11,0.2911031982942431,0.743,0.5106,11,4,5,3,53,1,3
2022-02-12,0.5467717734447539,0.4404,0.6808,14,4,11,7,60,1,3
2022-02-13,0.26593509316770186,0.3818,0.4019,9,4,4,16,69,2,3
2022-02-14,0.19071489533011274,0.3612,0.8578,10,6,8,8,66,1,3
2022-02-15,0.7030927663290255,0.6124,0.3182,96,3,24,42,287,8,3
2022-02-16,0.6087394038383014,0.7096,0.5106,37,9,10,20,160,3,3
2022-02-17,0.3390218875078998,0.4588,0.5423,26,10,13,24,125,5,3
2022-02-18,0.2652991686460808,0.7003,0.6124,23,5,9,11,85,2,3
2022-02-19,0.028504518664047192,0.7096,0.7351,14,1,6,15,60,2,3
2022-02-20,0.6319042847025497,0.7506,0.0,15,0,16,22,167,4,3
2022-02-21,-0.3139145945945946,0.7003,0.296,4,3,9,7,103,1,3
2022-02-22,0.4194976927747421,0.6249,0.4939,20,6,7,7,61,1,3
2022-02-23,0.5550926189308487,0.4767,0.4939,37,10,8,6,76,1,3
2022-02-24,0.017405372158206166,0.3182,0.4215,32,22,9,16,96,4,3
2022-02-25,-0.0233223016683691,0.296,0.296,18,17,12,18,74,5,3
2022-02-26,0.23688201438848921,0.296,0.0,8,0,3,5,14,1,3
2022-02-27,0.29730130522088355,0.4767,0.0258,17,1,3,8,53,1,3
2022-02-28,0.4963995754408883,0.5358,0.4404,28,2,4,11,103,2,3
2022-03-01,-0.008295906765207521,0.296,0.4201,10,6,9,13,104,2,3
2022-03-02,0.6355029729833301,0.5267,0.4404,26,5,226,933,7053,92,3
2022-03-03,0.3290829124579124,0.4019,0.6369,19,5,6,11,88,1,3
2022-03-04,0.43250153358011634,0.4344,0.5106,18,6,11,13,127,2,3
2022-03-05,0.23194479166666662,0.5267,0.7425,5,2,2,1,12,1,3
2022-03-06,0.170650826446281,0.34,0.5423,13,2,11,9,129,1,3
